928 814
927 322 -81
606 244 475
837 192 322
312 773 424
765 52 -160
913 676 -600
906 645 -430
207 521 613
256 236 895
463 587 -948
16 150 -843
194 300 -178
835 808 -386
710 329 -145
861 185 -66
288 632 -344
921 167 446
518 315 59
301 872 686
767 593 -950
243 684 752
371 349 434
371 678 -69
867 825 51
788 168 95
469 271 -643
682 2 -126
584 683 -14
678 632 970
687 579 -941
143 307 -530
355 622 695
725 780 -17
926 641 -274
575 880 523
14 757 48
87 238 261
849 481 807
863 858 418
514 363 894
246 532 710
482 731 -145
685 815 518
169 267 612
830 671 -986
606 69 -233
269 78 229
677 706 -421
48 827 -924
96 303 -26
361 696 503
805 10 -386
643 823 -94
638 874 -389
778 250 794
1 74 971
855 819 304
722 81 -89
633 486 595
831 797 -460
63 225 -103
62 99 -335
928 605 -512
504 858 443
873 404 -489
498 497 -43
902 269 672
423 288 708
679 853 -434
759 15 180
195 305 -580
191 80 -610
425 831 -795
649 169 849
127 872 778
287 108 -772
398 291 -960
432 610 622
848 390 732
634 248 512
728 918 -681
701 97 -25
483 349 -665
587 734 -59
530 568 -901
739 775 -776
176 873 -550
459 320 -113
66 569 83
833 738 756
177 302 -581
866 454 -941
181 224 726
907 677 -420
575 759 372
60 122 -775
247 901 -298
833 750 379
633 475 -358
323 392 -497
87 510 535
226 230 -947
218 246 46
32 464 655
114 313 182
502 94 593
417 863 259
228 438 -929
124 347 195
698 118 -189
486 314 -151
625 77 -328
457 355 -117
736 244 -343
537 782 -994
916 109 -595
144 435 427
863 912 546
916 740 -529
744 254 -360
802 463 -916
824 425 -181
803 676 -390
783 885 -240
19 558 -950
636 792 97
150 649 -437
757 437 6
248 316 501
133 541 108
92 539 -137
433 321 365
400 374 -291
276 558 686
593 746 910
302 886 759
661 525 -760
711 230 491
133 582 -277
595 830 -922
381 564 834
796 906 -375
215 277 305
192 879 -226
585 892 -799
837 876 167
670 843 -577
440 247 770
49 583 855
262 379 136
671 277 -940
825 705 -500
578 619 -538
599 332 832
318 927 379
701 608 0
491 539 356
868 906 942
164 357 -710
528 248 -180
923 82 935
817 561 -638
83 650 307
276 17 -860
118 294 835
597 505 -126
512 448 529
685 299 -186
778 614 573
333 742 -559
168 869 500
141 265 994
490 476 -569
877 385 -652
632 60 753
682 300 -360
759 749 -240
762 712 -708
700 689 -361
759 516 114
877 911 324
78 223 411
52 639 301
591 224 216
334 214 146
436 640 -923
377 659 -837
700 199 -236
844 405 797
299 518 993
601 543 21
855 44 805
135 776 114
724 682 -435
885 77 -67
276 116 -902
65 562 308
309 805 -784
228 234 554
351 591 -246
460 203 668
517 649 -219
534 923 886
675 623 581
494 900 860
676 75 -402
83 82 588
887 324 -652
620 424 73
535 119 -271
315 499 724
346 350 -749
569 280 943
417 177 530
351 195 180
911 547 355
259 607 185
618 59 167
68 718 699
867 708 -115
342 454 444
260 188 153
546 389 -599
326 768 -317
643 753 992
265 1 -610
399 504 919
73 425 233
378 298 533
854 364 -503
465 238 -241
47 919 159
17 490 404
373 190 234
171 593 -729
600 918 -869
853 713 552
382 538 454
783 714 -934
263 556 507
125 591 -564
487 709 -125
97 755 179
306 795 169
547 187 621
565 483 -255
584 105 214
174 602 809
22 862 386
208 575 -869
127 851 571
116 394 -183
263 663 -182
63 710 364
212 597 -216
868 135 726
810 918 332
911 924 -558
397 661 367
313 689 428
39 817 539
95 219 -525
267 363 -899
457 298 -293
777 216 -560
826 238 214
855 318 77
160 481 901
102 90 708
180 367 918
709 247 524
158 448 592
692 476 -356
250 748 -338
483 604 -3
902 95 -756
766 818 -919
260 804 -712
656 13 -554
103 332 85
784 300 271
1 624 169
573 250 428
756 848 46
291 817 797
836 125 589
839 841 612
632 450 834
240 592 -978
769 891 623
287 798 437
693 129 931
924 7 527
649 169 -251
267 807 324
569 324 -834
657 375 -328
718 732 649
806 172 414
444 264 -764
188 379 -966
894 816 315
68 512 478
222 320 -171
693 826 873
205 777 379
163 344 -307
545 35 -929
412 361 -985
91 312 -211
669 246 -404
360 330 771
279 82 -754
50 795 83
670 918 495
882 130 -488
847 157 168
785 111 279
385 585 723
763 229 -745
65 403 430
513 164 -927
697 433 5
674 788 -142
59 725 -314
502 476 -78
567 99 51
597 870 -413
928 832 534
807 332 -136
199 342 -707
33 832 761
287 896 384
61 642 -363
547 915 -592
911 69 -312
643 622 -726
435 611 -592
35 299 690
680 335 -760
475 272 -541
399 907 -783
513 292 -241
729 154 -139
87 567 169
639 686 -387
901 495 41
843 66 -884
246 923 125
129 409 -427
387 308 117
