995 2918
969 978 673
98 282 334
74 80 849
588 301 416
958 633 429
957 757 877
526 445 296
532 556 746
901 448 767
354 557 891
797 154 859
633 580 480
574 420 606
374 23 475
288 758 348
916 796 525
491 824 62
417 714 771
39 412 900
95 422 105
79 889 777
824 406 661
666 888 810
52 166 587
128 210 577
815 44 551
913 108 528
176 623 468
215 867 340
446 307 926
746 14 891
29 173 130
142 508 770
685 268 415
552 222 447
977 526 424
431 81 558
712 252 827
990 948 671
219 299 912
28 867 192
334 635 804
1 503 952
42 326 713
890 929 914
506 459 213
772 338 763
422 582 471
721 38 56
829 893 614
689 747 787
920 171 147
741 827 605
594 759 817
851 489 985
201 630 488
872 309 839
994 69 654
657 772 453
49 779 710
57 597 560
278 604 860
496 652 786
599 736 867
939 446 384
58 685 286
68 859 755
878 315 6
96 916 623
415 103 29
727 784 902
767 365 198
338 416 309
849 889 993
376 881 711
221 842 961
329 184 950
402 833 493
458 948 896
648 480 992
554 902 873
751 496 767
864 11 178
226 497 427
44 168 695
606 681 397
841 139 761
854 797 211
228 181 787
980 235 886
346 480 490
544 645 908
795 40 500
71 763 528
714 955 356
498 678 60
209 99 986
243 634 794
777 634 415
320 132 855
822 152 416
724 558 968
838 124 935
767 447 238
484 53 703
686 978 162
10 200 349
203 413 635
98 280 890
455 670 514
399 390 470
721 864 561
692 991 253
127 508 286
265 464 130
784 685 995
512 486 131
609 725 289
649 907 526
677 972 784
846 745 11
812 735 836
209 326 549
688 679 800
562 280 724
352 399 111
336 573 119
974 76 852
416 474 801
349 885 334
377 934 401
142 237 741
824 988 95
701 816 795
708 480 342
532 704 373
795 806 822
791 117 708
179 74 296
831 701 126
316 843 225
874 606 978
116 496 578
305 608 338
744 92 646
8 314 169
583 528 134
842 969 759
442 765 423
131 403 472
447 14 868
409 969 979
752 849 375
751 153 141
276 481 191
194 743 703
790 688 970
405 665 887
492 6 694
912 449 94
554 599 445
197 876 803
511 247 205
825 903 352
606 716 940
531 143 325
165 981 884
641 642 584
224 781 10
243 697 715
424 297 50
155 887 832
212 946 288
304 424 227
716 964 45
589 625 604
596 626 903
392 672 591
89 549 75
265 173 568
276 272 864
546 587 974
21 954 659
312 683 204
212 967 315
287 272 131
250 384 486
523 897 262
851 920 85
924 85 643
355 551 231
93 491 173
458 932 187
453 562 999
361 636 115
666 559 547
724 596 772
951 181 558
472 220 971
571 466 142
973 272 479
566 300 787
433 181 617
188 924 445
826 720 764
535 178 702
148 278 6
804 69 268
432 438 606
276 311 185
630 664 929
357 941 839
722 973 935
683 562 457
468 106 823
810 219 132
835 666 750
675 681 2
542 604 127
408 370 763
932 98 220
981 54 947
745 249 669
464 454 672
786 749 956
685 838 852
414 156 483
517 540 199
690 930 713
145 688 517
280 248 630
766 374 443
389 321 442
609 479 312
547 9 711
946 771 635
50 640 99
947 321 362
394 632 718
623 882 544
683 958 126
166 635 356
37 340 491
262 341 928
358 224 604
48 9 108
586 843 815
654 27 7
291 106 226
514 389 414
347 942 924
346 631 512
508 55 89
330 162 450
523 5 563
865 957 60
64 594 19
137 82 310
586 26 950
425 148 479
893 473 315
223 425 878
12 71 288
154 620 984
181 514 187
313 833 282
276 496 371
810 744 244
46 573 366
340 722 876
501 891 437
559 540 180
337 855 808
684 728 985
39 69 28
218 860 75
721 271 474
829 496 475
605 915 445
721 943 377
838 127 786
891 385 671
544 507 84
571 313 799
302 789 642
209 666 676
167 150 390
911 909 765
816 638 685
180 699 897
467 525 623
64 666 813
616 515 155
346 365 274
551 199 772
820 622 843
423 891 988
58 56 587
270 327 245
164 582 911
205 44 479
570 785 534
197 816 680
607 173 228
515 605 522
21 53 402
979 712 470
641 157 878
680 651 840
757 446 406
385 488 462
158 732 770
734 126 120
372 744 320
26 787 342
949 305 684
752 787 52
155 414 707
316 532 532
776 109 813
439 883 629
801 891 953
843 214 85
830 123 522
826 188 238
22 65 676
388 832 847
68 695 852
838 18 895
540 764 9
631 438 106
622 98 115
706 760 206
856 236 651
571 505 701
567 861 691
932 931 735
655 35 15
922 769 254
699 153 155
473 760 305
889 397 308
367 468 151
301 544 224
128 296 11
71 846 721
942 416 779
345 57 477
400 322 843
287 399 600
891 23 772
306 698 804
390 287 378
658 716 580
417 103 903
354 110 94
628 184 970
255 876 528
212 853 655
3 786 495
676 917 745
713 828 644
191 932 232
434 905 345
859 398 914
123 299 270
951 368 290
745 631 946
414 206 275
108 374 2
911 424 807
806 937 26
375 835 644
907 829 429
384 749 343
956 898 615
885 531 408
644 977 550
552 91 564
176 734 396
383 947 421
201 9 709
937 22 901
252 707 854
332 723 641
224 594 644
709 222 323
364 363 244
82 898 322
747 179 906
380 599 449
192 374 180
541 811 707
8 380 897
374 510 320
796 480 864
258 618 922
474 579 771
470 573 146
933 575 893
688 589 421
176 10 430
811 687 546
671 755 288
469 157 517
28 90 486
828 686 782
309 689 307
381 725 850
236 942 825
435 272 340
314 653 484
531 35 36
264 964 111
148 517 787
891 223 447
686 460 341
306 9 706
863 237 378
976 894 981
888 408 930
963 622 612
676 632 890
263 363 205
915 609 635
30 400 186
716 465 663
17 246 131
38 647 930
396 330 25
125 906 807
659 952 361
650 130 507
162 425 495
755 775 800
779 469 554
954 783 816
193 155 836
990 122 869
116 797 385
812 433 764
795 644 370
988 950 378
678 536 191
842 902 148
187 366 980
686 148 691
716 874 589
915 661 572
123 216 621
896 370 722
299 762 411
669 299 292
611 127 179
775 612 109
151 89 16
249 587 310
222 865 996
739 224 43
987 769 368
128 371 308
747 62 199
310 511 172
283 393 464
612 417 146
337 565 816
783 993 410
409 29 685
700 222 996
97 172 28
968 472 143
542 901 242
736 331 418
413 556 455
314 371 456
567 475 294
352 39 182
214 96 994
136 967 783
855 105 723
303 624 947
146 164 647
82 712 257
634 451 853
672 818 422
689 342 58
116 658 440
89 359 305
622 253 574
243 702 560
186 966 250
600 197 430
336 310 962
355 460 201
221 800 77
380 288 532
363 799 851
54 706 277
339 453 628
505 740 90
957 855 644
376 70 580
686 64 558
417 169 856
80 414 443
517 229 910
479 899 376
609 29 144
146 399 61
318 774 113
304 205 228
156 9 547
641 625 871
770 595 632
253 911 814
558 846 308
365 542 502
89 393 102
50 168 475
195 966 28
55 908 454
596 880 587
221 899 964
737 530 901
282 93 490
588 593 987
304 593 860
609 830 279
38 690 797
32 938 400
529 818 403
109 96 791
821 393 141
40 411 534
827 208 132
520 83 835
868 474 981
874 35 242
314 819 928
922 978 756
72 629 935
296 308 345
683 387 326
706 809 829
97 226 26
393 954 385
433 230 499
421 392 444
797 220 811
329 890 587
818 704 876
68 211 622
643 251 903
118 239 353
462 546 789
631 30 202
632 491 133
865 755 650
155 158 34
393 38 895
699 933 242
391 636 734
499 707 117
97 199 744
488 230 79
271 153 421
155 33 287
532 591 753
728 508 9
90 804 129
786 604 719
560 660 535
317 330 695
574 763 834
49 536 333
825 672 287
906 389 990
112 147 528
216 525 19
857 249 596
479 199 895
694 161 879
80 229 101
809 288 295
364 102 31
96 874 404
134 676 305
332 46 778
971 673 147
93 686 562
137 48 620
183 721 158
10 608 511
331 486 120
343 449 884
318 832 591
263 495 669
667 341 138
962 815 264
857 165 730
271 393 294
77 965 930
15 53 573
352 620 515
170 894 933
722 646 139
616 190 807
289 934 433
937 889 866
17 48 819
179 401 703
54 228 266
887 268 739
317 661 771
242 287 708
175 383 788
509 714 440
936 495 920
139 415 967
324 281 949
516 862 846
351 428 80
851 874 277
193 609 827
391 789 967
614 343 848
570 432 84
814 132 349
684 326 127
309 832 754
208 562 546
943 227 252
641 702 691
994 399 652
174 859 576
529 177 493
155 145 805
271 910 829
402 113 242
7 894 177
805 670 930
202 287 272
367 979 294
871 588 571
877 522 385
898 980 826
421 559 781
332 521 58
262 281 362
712 656 315
304 396 865
886 319 596
103 293 584
808 2 319
754 693 310
629 56 589
982 397 204
198 297 961
932 326 549
986 699 869
516 883 310
655 878 685
203 781 429
815 340 340
919 929 904
797 412 602
785 804 805
96 218 477
499 343 116
1 104 141
382 303 37
582 896 265
737 11 545
542 400 994
918 871 295
257 558 351
922 233 803
750 1 130
804 859 121
103 980 557
660 969 966
923 961 70
873 477 117
115 818 244
142 671 908
541 899 242
817 189 437
696 495 31
717 419 41
881 436 572
264 592 16
257 778 10
28 274 736
571 773 95
534 968 970
215 784 638
816 824 837
85 687 505
599 733 218
24 60 481
87 628 22
482 937 578
560 752 462
481 509 268
748 45 849
38 405 929
335 115 40
80 42 293
864 981 329
951 1 583
708 511 290
826 912 427
97 553 197
703 858 843
570 940 611
850 810 700
908 509 806
330 638 314
302 714 908
573 182 410
360 379 80
632 262 198
408 114 206
761 223 86
141 626 596
678 636 690
476 612 862
275 285 762
738 846 487
346 343 479
184 877 906
812 371 275
135 587 705
145 694 875
700 479 71
284 962 78
650 339 108
306 58 984
520 523 727
776 458 247
668 203 213
558 430 595
653 826 354
210 832 608
69 349 216
271 678 169
800 135 362
276 770 638
745 884 71
54 533 713
718 176 34
901 765 463
272 379 214
876 646 318
885 870 671
302 572 948
390 286 375
185 708 849
467 538 879
26 58 452
579 481 509
771 494 343
826 861 116
643 932 990
875 891 160
12 78 585
475 545 641
231 74 971
13 870 812
342 402 956
330 199 722
944 650 264
748 582 263
26 364 19
690 757 539
557 973 697
266 655 974
490 386 580
450 387 656
801 464 985
840 330 313
133 826 184
203 420 365
783 572 656
631 338 666
678 804 678
132 809 41
991 141 772
368 694 295
489 418 346
385 13 629
456 449 759
435 544 680
604 531 261
247 381 825
312 592 98
909 790 716
902 642 940
889 439 580
636 892 970
768 872 492
635 395 971
129 632 499
858 229 717
853 714 177
550 793 544
699 503 516
864 878 962
692 307 450
976 576 799
284 392 53
4 550 810
334 948 380
906 764 521
801 171 326
350 421 92
299 541 693
653 783 476
559 580 898
672 94 736
854 782 487
157 867 898
272 348 419
218 323 499
592 228 818
890 815 366
595 536 819
259 359 549
32 978 647
628 578 368
590 850 222
576 776 503
838 802 8
296 877 824
216 734 390
551 379 855
905 175 283
785 313 726
666 673 355
490 88 798
640 103 324
144 507 579
933 955 457
592 721 664
171 420 628
872 881 892
765 311 264
191 400 64
60 315 772
645 367 395
195 990 975
75 845 764
510 506 58
332 899 42
12 695 695
735 195 183
975 285 976
844 432 830
973 777 729
83 934 133
523 453 949
54 901 678
587 128 80
662 563 824
607 398 735
744 308 368
861 828 929
455 167 799
582 529 494
807 792 392
197 859 221
626 101 510
680 53 959
818 64 340
174 228 485
587 974 938
287 359 126
876 592 203
457 142 232
23 57 596
168 583 899
694 938 69
869 455 167
364 412 941
270 576 932
393 271 889
105 949 861
675 21 368
426 228 684
208 535 186
166 97 963
228 599 946
169 713 510
53 380 847
446 343 830
242 652 527
915 623 741
957 111 233
178 249 299
70 279 793
479 227 418
882 616 585
987 423 969
69 311 135
609 2 334
287 300 248
708 163 765
299 746 812
116 232 456
250 499 380
549 36 864
454 924 517
319 957 853
152 613 874
117 178 552
174 465 462
464 634 89
287 826 1000
37 781 36
588 929 1000
786 279 675
197 840 199
767 498 513
330 801 606
963 53 636
89 451 140
19 912 945
112 954 775
677 426 577
558 602 604
624 846 983
29 609 948
319 852 71
56 570 935
750 302 615
957 523 320
929 482 448
685 797 65
658 182 521
25 677 367
586 653 764
882 180 459
367 878 319
289 106 488
584 27 853
316 592 120
900 21 789
902 50 297
83 870 711
268 71 898
600 780 388
836 684 561
364 528 480
342 397 248
195 480 856
806 217 189
790 763 120
184 170 128
251 289 553
253 677 501
303 59 641
219 582 111
868 451 430
739 56 782
757 743 139
32 706 16
747 39 290
545 340 382
542 929 605
464 749 785
171 842 14
372 510 915
528 917 106
179 205 245
677 270 265
497 597 293
125 814 352
573 502 157
194 670 540
368 328 379
264 673 698
858 567 535
677 182 932
821 595 681
478 986 889
488 256 103
237 785 539
461 990 781
829 567 876
95 752 403
718 894 210
241 31 172
285 420 510
730 678 792
287 87 429
322 360 774
4 36 885
87 799 185
783 582 361
411 845 181
283 559 301
222 781 805
80 665 892
184 59 251
365 340 119
736 636 967
926 186 714
488 536 965
284 306 922
175 257 509
964 295 711
800 866 901
735 778 324
545 532 640
68 527 338
560 272 476
304 446 556
95 601 247
308 272 416
848 348 994
570 612 793
929 857 177
375 6 478
978 830 966
128 358 938
967 578 394
884 192 466
838 850 120
952 900 917
794 935 923
111 149 573
445 226 620
946 297 280
969 12 443
4 403 606
32 576 308
812 230 877
480 891 615
923 960 665
433 613 998
594 656 484
827 477 783
773 53 64
592 803 679
808 980 979
534 256 174
877 905 377
90 745 20
188 608 899
267 424 719
569 531 615
624 657 961
899 46 734
783 56 995
455 150 140
477 87 259
670 555 339
288 131 788
976 67 313
663 172 538
172 827 2
193 673 987
242 96 714
140 460 403
804 554 956
792 549 633
955 378 198
94 92 404
475 72 789
430 929 499
554 125 181
555 251 343
804 782 797
606 414 514
270 768 477
410 310 60
915 711 650
162 902 250
920 187 14
102 277 716
662 327 658
213 670 468
609 315 268
812 17 4
736 444 140
249 57 852
531 702 735
402 603 380
572 793 310
615 873 596
344 497 686
528 499 806
770 926 199
771 288 283
88 261 393
865 515 956
724 223 83
406 143 452
921 684 797
655 872 692
56 748 697
935 374 481
220 681 839
835 235 392
905 746 464
949 532 127
51 758 400
538 761 838
607 974 483
123 944 207
313 261 126
810 304 721
798 857 841
394 715 205
185 446 771
94 930 153
513 88 602
120 959 538
956 348 500
804 830 359
299 777 796
499 185 957
580 616 715
953 57 377
365 948 377
283 496 818
818 532 9
964 243 813
900 541 818
697 254 457
404 158 794
871 717 743
834 976 226
103 469 815
682 700 178
36 233 942
372 257 74
88 245 625
792 290 244
995 246 582
81 36 824
299 515 781
217 142 110
125 147 570
987 793 936
530 570 751
432 709 486
449 632 287
222 124 543
90 827 910
479 137 204
641 975 845
465 854 308
734 283 743
131 167 435
373 453 508
384 881 805
240 162 640
167 83 467
207 160 552
711 418 719
119 273 403
157 847 914
390 16 905
392 446 419
546 88 720
863 982 163
811 424 525
389 6 562
218 719 792
500 383 317
877 542 8
79 615 725
373 682 101
256 302 5
286 95 963
190 901 954
382 609 216
72 724 834
3 816 344
146 827 779
749 557 823
881 843 850
595 412 404
478 719 280
914 950 117
795 258 675
726 737 950
2 666 256
684 959 45
885 908 26
665 975 742
558 259 130
525 120 678
631 907 866
956 987 520
590 471 439
199 364 490
149 576 211
251 469 361
319 899 930
199 655 201
736 915 725
963 337 477
35 852 157
149 597 157
983 108 67
827 966 276
525 477 286
428 266 241
456 213 863
775 651 924
677 420 69
226 684 996
26 841 882
617 494 207
89 61 951
867 334 184
883 819 108
340 124 835
167 462 217
774 314 815
679 75 480
8 544 771
229 599 484
857 277 210
865 156 438
810 518 518
146 249 67
705 193 616
478 961 783
833 930 227
24 819 261
973 15 218
962 389 571
568 479 918
553 347 844
646 745 438
69 544 404
151 792 314
109 37 796
64 60 687
588 856 730
469 811 853
362 345 560
434 346 120
318 121 572
8 243 345
134 669 143
715 961 57
409 368 788
576 99 375
771 42 49
320 241 137
272 209 325
407 554 386
516 526 322
282 585 871
686 148 106
569 567 886
978 129 226
340 316 495
507 146 841
990 386 297
540 695 337
18 146 981
661 379 856
865 122 833
753 842 797
809 930 852
717 3 859
928 922 319
975 389 332
505 809 838
300 69 410
304 547 990
319 584 575
468 685 672
483 243 905
702 143 440
404 350 610
514 432 308
740 855 561
761 551 511
38 553 888
229 135 576
954 880 627
968 789 272
863 753 508
532 530 652
561 406 82
850 544 476
501 896 796
667 216 193
346 992 890
445 412 809
596 858 485
606 768 810
868 512 863
640 730 409
874 901 345
191 672 550
490 588 636
423 314 251
97 676 905
78 295 849
54 765 606
714 336 141
158 305 237
649 983 671
105 51 117
417 955 878
379 301 524
934 604 163
285 95 47
219 551 926
123 294 80
101 527 219
20 294 592
257 379 231
296 539 924
325 660 463
77 272 157
585 673 20
978 91 557
617 846 850
491 327 782
765 293 276
839 956 340
912 341 853
279 826 646
660 945 289
268 957 364
318 476 767
583 711 113
83 566 315
476 556 859
925 717 179
421 153 644
657 67 448
918 301 174
992 704 750
143 585 353
801 698 657
44 488 931
236 257 513
492 691 506
276 76 907
270 512 216
792 992 550
599 822 148
932 811 694
409 877 192
552 698 267
923 840 544
42 936 216
744 303 269
774 13 380
585 527 259
397 589 286
764 969 84
375 36 195
893 492 261
661 211 614
858 160 361
759 185 240
507 322 226
873 333 975
542 29 903
697 332 893
356 447 562
855 988 256
141 647 48
742 633 514
900 361 511
332 813 42
456 874 756
965 318 703
639 309 273
369 987 321
755 237 254
25 496 30
399 121 824
701 414 250
966 579 281
350 142 157
591 87 273
636 707 229
356 88 969
397 743 270
649 230 151
134 933 534
305 591 27
622 663 532
421 363 711
866 469 137
13 443 386
190 571 199
449 386 526
870 281 342
183 596 762
252 428 888
711 275 920
897 710 919
770 471 956
740 677 578
642 680 23
326 667 549
995 333 995
687 39 98
728 315 295
639 339 967
358 922 646
511 759 273
766 571 175
743 750 588
63 923 759
443 489 768
906 149 998
809 545 874
928 263 206
492 453 733
269 817 158
297 317 2
331 950 250
634 989 810
642 195 907
97 153 111
397 580 783
421 764 870
793 312 665
938 950 786
782 741 467
353 124 927
233 563 915
64 240 150
43 477 923
809 779 280
336 198 477
65 513 421
871 192 373
539 948 818
961 550 435
406 470 479
431 262 592
37 625 562
444 33 322
312 372 768
574 75 800
593 919 365
640 589 249
879 457 745
562 78 58
880 197 884
17 581 879
61 671 608
286 459 602
930 139 82
792 417 583
482 989 774
916 136 314
37 348 219
317 279 1
733 398 680
380 864 879
901 686 797
888 919 452
280 968 995
891 761 133
351 849 386
179 362 626
237 865 274
404 554 847
356 365 31
902 331 81
750 762 870
263 197 834
746 338 561
434 256 746
219 236 321
828 409 436
800 810 672
323 92 529
465 780 991
905 560 457
408 483 667
704 725 876
468 579 563
658 976 161
338 983 261
751 448 150
663 470 531
553 499 975
212 639 358
330 955 742
506 316 472
880 850 299
649 654 411
151 10 472
904 368 499
427 507 91
214 468 555
680 165 985
42 148 429
872 522 833
974 501 610
219 88 233
842 19 350
71 143 223
364 192 676
450 989 524
192 616 644
982 437 503
448 533 899
86 668 387
958 314 127
530 742 280
824 318 59
589 483 6
399 781 396
534 730 918
861 599 423
659 104 847
368 850 951
535 371 889
679 475 550
902 95 670
813 51 693
599 426 398
127 494 485
732 566 857
970 2 356
150 609 25
811 220 572
918 64 276
628 682 692
627 143 819
353 287 135
199 684 700
38 138 62
192 530 625
887 491 384
156 910 413
559 938 769
441 43 146
325 215 956
872 845 6
922 252 742
334 176 778
938 991 346
379 436 264
789 283 839
260 196 361
252 400 656
148 418 515
739 252 785
540 115 234
303 707 199
545 990 333
613 195 35
577 434 998
960 556 695
75 611 309
498 837 139
909 871 479
454 25 925
337 867 293
747 731 190
235 364 58
460 444 620
153 122 709
901 240 717
426 313 962
340 681 589
977 364 893
409 548 449
429 451 415
650 486 381
249 850 406
362 808 9
810 281 133
306 729 868
772 799 826
51 863 547
375 734 478
336 859 524
363 394 31
98 964 745
12 825 970
879 746 203
913 832 35
156 494 32
184 939 467
104 264 713
307 248 724
6 611 290
717 135 609
975 620 112
390 205 882
929 776 171
912 218 875
346 114 64
696 69 660
591 666 576
628 109 740
243 226 125
744 376 81
406 309 677
392 570 830
316 804 738
898 960 81
802 959 777
364 618 835
66 751 367
178 412 629
480 481 675
387 642 597
332 278 869
839 572 67
970 344 635
253 354 734
769 876 17
945 521 180
809 468 145
82 425 418
645 822 619
470 201 160
554 831 475
417 768 986
283 768 541
123 864 114
413 427 405
881 54 392
487 124 827
134 681 165
788 11 221
882 803 573
523 652 556
69 432 155
657 385 864
685 860 567
76 594 556
531 643 535
323 623 917
99 854 578
692 271 664
613 353 514
956 683 360
353 825 752
492 508 7
920 725 65
712 955 571
126 192 696
653 867 821
671 275 409
234 410 216
541 991 517
675 723 343
86 330 551
523 400 551
176 404 224
119 372 922
393 923 653
680 318 266
341 243 823
325 157 887
882 704 844
450 706 94
635 63 885
456 751 105
180 926 362
244 865 46
142 338 622
570 773 205
79 417 257
239 972 207
820 740 225
967 775 620
9 434 553
919 613 248
586 347 268
474 138 741
210 223 719
894 481 622
406 876 701
797 516 261
79 647 205
143 211 212
992 637 688
397 846 802
562 154 721
808 660 739
587 904 647
624 760 478
284 11 283
327 463 997
669 489 764
72 733 860
589 155 342
298 844 712
876 802 999
917 549 257
691 311 27
334 434 851
503 581 525
55 154 567
466 773 265
289 910 829
575 284 440
392 353 101
848 805 484
196 413 914
794 838 481
213 532 890
814 608 542
76 333 326
395 289 527
806 882 124
825 796 977
183 765 509
218 466 836
534 911 961
433 784 249
858 615 198
786 232 264
866 90 721
935 669 88
789 908 436
400 697 620
849 884 703
461 379 658
220 797 952
841 279 8
311 884 366
990 657 254
13 808 100
813 627 546
233 683 811
557 979 88
839 631 35
115 249 335
344 995 868
806 30 275
210 177 73
410 239 588
65 717 372
830 640 345
277 239 24
607 221 10
869 645 272
601 737 275
263 698 239
372 662 724
800 546 870
548 261 753
556 233 948
605 261 491
872 808 329
216 220 174
619 261 182
399 96 159
827 995 502
526 766 542
822 797 810
223 118 431
456 197 174
822 481 917
99 673 857
291 275 812
576 883 115
780 413 352
42 305 840
24 832 67
496 287 871
306 260 993
195 114 322
920 366 473
657 293 607
971 561 562
747 725 872
728 453 876
263 170 699
140 895 711
209 397 327
625 787 656
144 973 680
591 966 827
353 702 155
334 612 305
449 517 832
701 519 94
309 768 627
138 197 339
283 855 587
43 320 565
311 670 393
410 721 735
783 175 218
198 516 581
383 953 644
378 221 604
76 793 405
567 352 686
957 564 99
899 376 604
288 841 465
105 691 809
331 829 259
612 170 78
395 107 411
411 377 9
697 565 990
965 76 10
740 264 814
253 755 801
844 959 985
785 536 66
443 814 433
759 642 672
337 853 68
567 210 914
823 492 374
855 784 360
926 230 867
396 79 191
346 590 611
429 512 876
947 318 30
268 110 934
463 615 591
907 288 996
978 670 748
914 336 839
334 703 371
973 597 271
904 113 308
310 212 493
773 286 207
501 619 999
346 684 296
167 298 561
401 558 601
893 867 527
159 984 665
711 162 382
229 297 9
416 294 689
79 986 77
270 841 202
929 774 558
511 445 441
246 896 636
678 797 106
595 923 149
686 472 84
327 376 479
978 923 155
826 499 602
533 371 274
123 829 647
346 29 632
623 990 196
349 357 659
635 91 110
822 806 431
7 601 561
609 927 282
804 244 927
470 224 222
381 118 310
46 715 891
377 616 704
714 829 727
57 281 781
527 806 425
932 22 350
624 385 771
556 198 331
461 629 574
210 399 41
181 854 113
818 259 849
683 503 669
137 592 156
560 769 653
838 902 170
848 200 999
42 7 358
273 45 7
408 369 162
794 930 643
209 237 969
94 766 770
67 906 316
708 958 770
363 105 310
507 103 285
474 515 99
28 693 38
574 944 820
289 980 626
416 956 667
364 380 937
433 157 520
535 781 507
581 813 34
480 468 233
238 771 55
491 461 822
529 455 529
676 488 941
99 333 722
120 7 939
754 957 800
569 356 598
635 804 843
258 155 746
845 460 327
967 678 153
569 931 123
295 494 969
575 277 995
503 321 362
674 892 570
50 184 63
148 861 102
675 500 876
391 624 563
322 877 477
778 360 93
482 458 525
16 479 67
830 716 672
9 959 776
938 458 371
411 504 143
291 314 942
107 392 706
337 279 482
135 601 880
39 32 991
166 741 707
777 582 416
965 257 567
8 143 473
560 536 883
335 395 476
492 855 49
474 479 186
516 101 103
451 918 643
464 981 48
261 142 107
225 90 936
95 973 860
562 180 435
743 179 700
685 569 589
852 493 613
6 607 298
330 671 681
829 289 779
987 723 123
326 230 536
49 223 953
259 853 395
224 344 372
708 927 490
166 167 483
235 795 925
255 682 359
671 835 287
528 410 494
807 919 500
712 463 714
313 762 712
540 777 807
870 825 180
801 805 53
621 526 600
301 64 396
642 835 581
898 759 477
831 880 450
60 530 827
937 221 624
81 534 280
355 880 651
672 204 634
951 501 980
361 779 737
310 292 649
149 995 131
964 542 679
219 528 718
